,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,country,employment_gap,mobilemoney_access_gap
13,33460.0,,,,18.0,1.7624285714285715,,,100.0,39.0,85.0,,,73.7212,Bahamas The,-16.0,
14,22110.0,,,,15.0,2.0100000000000002,100.0,99.0,100.0,0.5,95.9,,,77.16099999999999,Bahrain,0.4000000000000057,10.899999999999991
15,1940.0,51.4,12.7,11.5,21.0,2.0654285714285714,34.6,58.5,88.0,2.6,10.3,14.3,67.303334809,72.3232,Bangladesh,9.600000000000001,28.799999999999997
16,17380.0,,,,20.0,1.618857142857143,98.7,,100.0,10.9,81.8,,99.59999847,79.08959999999999,Barbados,-9.900000000000006,
17,6290.0,4.7,45.5,,40.0,1.5579999999999998,100.0,94.6,100.0,3.5,74.4,0.0,99.87400055,74.11707317199999,Belarus,-3.0,-0.3999999999999915
18,48030.0,,,32.9,42.0,1.6485714285714284,100.0,99.9,100.0,2.0,87.7,0.12222222222222223,,81.463414634,Belgium,-6.599999999999994,-0.3999999999999915
19,4480.0,33.5,,41.7,13.0,2.3559999999999994,95.7,,94.2,33.0,47.1,,,74.4914,Belize,-1.0,
20,1250.0,30.6,36.7,,8.0,4.907000000000001,83.6,,34.5,,13.3,40.666666666666664,37.65560913,61.4754,Benin,11.3,20.0
21,117730.0,,,,,1.3571428571428572,,,100.0,6.5,98.4,,,81.648682928,Bermuda,,
22,3140.0,,43.3,,17.0,1.9960000000000002,,36.6,97.7,1.6,41.8,1.85,60.93935394499999,71.44539999999999,Bhutan,18.599999999999998,
23,3520.0,19.7,68.6,26.8,46.0,2.786857142857143,91.9,,91.8,6.2,43.8,6.08,93.04726664333333,71.2188,Bolivia,5.600000000000001,1.1000000000000014
24,6170.0,,22.8,18.8,26.0,1.274714285714286,,88.9,100.0,1.7,64.9,0.1,97.56690216,77.2668,Bosnia and Herzegovina,1.7999999999999972,8.5
25,7650.0,,,,11.0,2.902,85.35,,67.4,,41.4,14.5,86.82318115,69.13000000000001,Botswana,2.9000000000000057,9.400000000000006
