,Unnamed: 0,country,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,employment_gap,mobilemoney_access_gap,cluster
107,107,Latvia,17740.0,21.35,41.6,44.1,29.0,1.6485714285714284,100.0,96.3,100.0,3.4,80.1,0.7111111111111111,99.892604825,74.95365853599999,-3.3999999999999915,1.5999999999999943,0
108,108,Lebanon,7380.0,6.0,43.5,30.3,5.0,2.088142857142857,98.9,47.7,100.0,3.5,78.2,0.0,95.06944275,78.8884,-29.4,23.800000000000004,0
109,109,Lesotho,1380.0,16.4,39.1,30.3,23.0,3.162857142857143,43.9,28.9,33.7,43.6,39.0,27.2,76.6352005,53.57560000000001,15.6,-1.8999999999999984,1
110,110,Liberia,580.0,24.9,37.4,30.3,11.0,4.393428571428571,45.45,88.95,24.2,3.3,16.3,43.05,48.30136108,63.6708,24.6,15.500000000000004,1
111,111,Libya,7640.0,21.35,34.9,30.3,16.0,2.2804285714285712,96.8,88.95,70.3,2.8,21.8,2.2625,92.97438939499999,72.71000000000001,-4.5,11.1,0
112,112,Liechtenstein,6090.0,21.35,34.9,30.3,28.0,1.5085714285714285,100.0,100.0,100.0,0.0,99.5,2.2625,92.97438939499999,83.002926828,0.0,5.700000000000003,0
113,113,Lithuania,19080.0,0.0,35.7,37.9,28.0,1.6242857142857143,100.0,94.9,100.0,5.9,77.6,0.8888888888888888,99.81559753,75.408780486,-6.299999999999997,4.099999999999994,0
114,114,Luxembourg,73910.0,21.35,34.9,17.9,35.0,1.4085714285714286,100.0,99.5,100.0,0.9,97.4,0.1555555555555555,92.97438939499999,82.29121951,-1.8999999999999917,1.0999999999999943,0
115,115,Madagascar,520.0,40.3,41.6,24.5,18.0,4.1337142857142855,80.8,20.5,24.1,2.8,4.7,78.8,74.12614822500001,66.6708,3.5,3.3000000000000007,1
116,116,Malawi,380.0,42.1,28.1,30.3,23.0,4.327571428571429,36.4,88.95,12.7,1.8,13.8,71.35,63.644454955,63.74300000000001,13.199999999999996,8.099999999999998,1
117,117,Malaysia,11230.0,21.35,25.4,30.3,15.0,2.019285714285714,96.8,93.8,100.0,2.1,80.1,0.0333333333333333,94.9471912375,75.9872,2.200000000000003,5.400000000000006,0
118,118,Maldives,9680.0,2.2,34.9,19.5,5.0,1.9152857142857145,98.8,88.95,99.8,0.7,63.2,0.0,98.17253494,78.61880000000001,14.799999999999995,5.700000000000003,0
119,119,Mali,870.0,53.7,15.3,30.3,27.0,5.965142857142857,86.0,88.95,34.8,2.8,15.6,16.3,32.4806847575,58.866,11.8,19.8,1
120,120,Malta,28030.0,21.35,34.9,28.1,13.0,1.2685714285714285,100.0,100.0,100.0,0.9,81.0,0.1222222222222222,93.90527344,82.55219512400001,-9.900000000000006,0.7999999999999972,0
121,121,Marshall Islands,4860.0,21.35,34.9,30.3,6.0,2.210857142857143,83.8,88.95,94.2,2.8,38.7,0.8,98.26508331,74.197036586,0.0,5.700000000000003,0
122,122,Mauritania,1660.0,37.0,15.0,30.3,20.0,4.620428571428571,65.6,88.95,42.9,2.8,20.8,6.0,57.783168790000005,64.686,29.5,10.8,1
123,123,Mauritius,12900.0,21.35,34.9,30.8,20.0,1.4114285714285713,96.8,88.95,99.6,1.7,55.4,0.4,91.7387815185714,74.34775609799999,-9.700000000000005,5.6000000000000085,0
